"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Measles","All cases","Reported cases","N","2011-01","AFR","Africa",9755,NA
"Measles","All cases","Reported cases","N","2011-02","AFR","Africa",7994,NA
"Measles","All cases","Reported cases","N","2011-03","AFR","Africa",9472,NA
"Measles","All cases","Reported cases","N","2011-04","AFR","Africa",6084,NA
"Measles","All cases","Reported cases","N","2011-05","AFR","Africa",4181,NA
"Measles","All cases","Reported cases","N","2011-06","AFR","Africa",3619,NA
"Measles","All cases","Reported cases","N","2011-07","AFR","Africa",2085,NA
"Measles","All cases","Reported cases","N","2011-08","AFR","Africa",1972,NA
"Measles","All cases","Reported cases","N","2011-09","AFR","Africa",967,NA
"Measles","All cases","Reported cases","N","2011-10","AFR","Africa",958,NA
"Measles","All cases","Reported cases","N","2011-11","AFR","Africa",1256,NA
"Measles","All cases","Reported cases","N","2011-12","AFR","Africa",908,NA
"Measles","All cases","Reported cases","N","2012-01","AFR","Africa",4440,NA
"Measles","All cases","Reported cases","N","2012-02","AFR","Africa",3698,NA
"Measles","All cases","Reported cases","N","2012-03","AFR","Africa",4124,NA
"Measles","All cases","Reported cases","N","2012-04","AFR","Africa",3041,NA
"Measles","All cases","Reported cases","N","2012-05","AFR","Africa",2518,NA
"Measles","All cases","Reported cases","N","2012-06","AFR","Africa",1675,NA
"Measles","All cases","Reported cases","N","2012-07","AFR","Africa",1258,NA
"Measles","All cases","Reported cases","N","2012-08","AFR","Africa",1774,NA
"Measles","All cases","Reported cases","N","2012-09","AFR","Africa",1498,NA
"Measles","All cases","Reported cases","N","2012-10","AFR","Africa",1012,NA
"Measles","All cases","Reported cases","N","2012-11","AFR","Africa",1175,NA
"Measles","All cases","Reported cases","N","2012-12","AFR","Africa",547,NA
"Measles","All cases","Reported cases","N","2013-01","AFR","Africa",9107,NA
"Measles","All cases","Reported cases","N","2013-02","AFR","Africa",14789,NA
"Measles","All cases","Reported cases","N","2013-03","AFR","Africa",20045,NA
"Measles","All cases","Reported cases","N","2013-04","AFR","Africa",11108,NA
"Measles","All cases","Reported cases","N","2013-05","AFR","Africa",6078,NA
"Measles","All cases","Reported cases","N","2013-06","AFR","Africa",2967,NA
"Measles","All cases","Reported cases","N","2013-07","AFR","Africa",2538,NA
"Measles","All cases","Reported cases","N","2013-08","AFR","Africa",2202,NA
"Measles","All cases","Reported cases","N","2013-09","AFR","Africa",2038,NA
"Measles","All cases","Reported cases","N","2013-10","AFR","Africa",2217,NA
"Measles","All cases","Reported cases","N","2013-11","AFR","Africa",2930,NA
"Measles","All cases","Reported cases","N","2013-12","AFR","Africa",1574,NA
"Measles","All cases","Reported cases","N","2014-01","AFR","Africa",6307,NA
"Measles","All cases","Reported cases","N","2014-02","AFR","Africa",8631,NA
"Measles","All cases","Reported cases","N","2014-03","AFR","Africa",7506,NA
"Measles","All cases","Reported cases","N","2014-04","AFR","Africa",3848,NA
"Measles","All cases","Reported cases","N","2014-05","AFR","Africa",3726,NA
"Measles","All cases","Reported cases","N","2014-06","AFR","Africa",3100,NA
"Measles","All cases","Reported cases","N","2014-07","AFR","Africa",2747,NA
"Measles","All cases","Reported cases","N","2014-08","AFR","Africa",2404,NA
"Measles","All cases","Reported cases","N","2014-09","AFR","Africa",1706,NA
"Measles","All cases","Reported cases","N","2014-10","AFR","Africa",1111,NA
"Measles","All cases","Reported cases","N","2014-11","AFR","Africa",982,NA
"Measles","All cases","Reported cases","N","2014-12","AFR","Africa",889,NA
"Measles","All cases","Reported cases","N","2015-01","AFR","Africa",5166,NA
"Measles","All cases","Reported cases","N","2015-02","AFR","Africa",8577,NA
"Measles","All cases","Reported cases","N","2015-03","AFR","Africa",7252,NA
"Measles","All cases","Reported cases","N","2015-04","AFR","Africa",6192,NA
"Measles","All cases","Reported cases","N","2015-05","AFR","Africa",3148,NA
"Measles","All cases","Reported cases","N","2015-06","AFR","Africa",2415,NA
"Measles","All cases","Reported cases","N","2015-07","AFR","Africa",1886,NA
"Measles","All cases","Reported cases","N","2015-08","AFR","Africa",1842,NA
"Measles","All cases","Reported cases","N","2015-09","AFR","Africa",2214,NA
"Measles","All cases","Reported cases","N","2015-10","AFR","Africa",2599,NA
"Measles","All cases","Reported cases","N","2015-11","AFR","Africa",2276,NA
"Measles","All cases","Reported cases","N","2015-12","AFR","Africa",2536,NA
"Measles","All cases","Reported cases","N","2016-01","AFR","Africa",5123,NA
"Measles","All cases","Reported cases","N","2016-02","AFR","Africa",6786,NA
"Measles","All cases","Reported cases","N","2016-03","AFR","Africa",5814,NA
"Measles","All cases","Reported cases","N","2016-04","AFR","Africa",3421,NA
"Measles","All cases","Reported cases","N","2016-05","AFR","Africa",2951,NA
"Measles","All cases","Reported cases","N","2016-06","AFR","Africa",1924,NA
