"url_bulletins","year","month","age_group","cases","cases_percent","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,"0_4",5,"41.6",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,"5_14",1,"8.4",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,"15_39",3,"24.9",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,"40_64",2,"16.7",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,"65+",1,"8.4",NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,"0_4",8,"24.3","0.29"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,"5_14",3,"9.1","0.05"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,"15_39",17,"51.6","0.10"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,"40_64",4,"12.1","0.02"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,"65+",1,"2.9","0.01"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,"0_4",13,"27.0","0.48"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,"5_14",3,"6.2","0.05"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,"15_39",26,"54.1","0.15"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,"40_64",5,"10.4","0.02"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,"65+",1,"2.0","0.01"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,"0_4",14,"21.2","0.51"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,"5_14",13,"19.6","0.23"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,"15_39",33,"50.1","0.19"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,"40_64",5,"7.6","0.02"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,"65+",1,"1.5","0.01"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,"0_4",19,"18.9","0.70"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,"5_14",20,"19.8","0.35"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,"15_39",52,"51.5","0.30"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,"40_64",9,"9.0","0.04"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,"65+",1,"1.1","0.01"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,"0_4",22,"17.8","0.81"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,"5_14",21,"17.0","0.37"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,"15_39",66,"53.6","0.38"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,"40_64",13,"10.6","0.06"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,"65+",1,"0.8","0.01"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_18.pdf",2015,7,"0_4",24,"17.2","0.88"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_18.pdf",2015,7,"5_14",21,"14.9","0.37"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_18.pdf",2015,7,"15_39",80,"57.2","0.46"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_18.pdf",2015,7,"40_64",14,"10.0","0.06"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_18.pdf",2015,7,"65+",1,"0.7","0.01"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_19.pdf",2015,8,"0_4",26,"17.2","0.95"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_19.pdf",2015,8,"5_14",21,"13.9","0.37"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_19.pdf",2015,8,"15_39",87,"58.0","0.50"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_19.pdf",2015,8,"40_64",16,"10.7","0.07"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_19.pdf",2015,8,"65+",0,"0.0","0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_20.pdf",2015,9,"0_4",30,"17.5","1.10"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_20.pdf",2015,9,"5_14",25,"14.5","0.44"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_20.pdf",2015,9,"15_39",95,"55.5","0.55"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_20.pdf",2015,9,"40_64",20,"11.6","0.09"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_20.pdf",2015,9,"65+",1,"0.5","0.01"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_21.pdf",2015,10,"0_4",25,"14.6","0.92"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_21.pdf",2015,10,"5_14",24,"14.0","0.42"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_21.pdf",2015,10,"15_39",103,"59.9","0.59"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_21.pdf",2015,10,"40_64",19,"11.1","0.09"
