"url_bulletins","year","month","new_cases","total_cases","median_age","female_cases","female_percent","male_cases","male_percent","recovered_cases","emergency_room_visit_request","no_vaccination_cases","no_vaccination_percent","first_dose_vaccination","first_dose_vaccination_percent","second_dose_vaccination","second_dose_vaccination_percent"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_38.pdf",2018,1,164,164,25,86,"52.4",78,"47.6",91,31,127,"89.8",5,"3.4",4,"2.7"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_39.pdf",2018,2,247,411,25,202,"49.1",209,"50.9",209,48,314,"91.0",16,"4.5",6,"1.6"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_40.pdf",2018,3,394,805,25,394,"48.9",411,"51.1",478,108,642,"92.2",16,"2.3",10,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_41.pdf",2018,4,453,1258,24,600,"47.7",658,"52.3",759,171,1005,"91.6",58,"5.3",14,"1.3"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_42.pdf",2018,5,458,1716,25,808,"47.1",908,"52.9",1016,273,1387,"91.9",75,"5.0",23,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_43.pdf",2018,6,313,2029,25,956,"47.1",1073,"52.9",1207,333,905,"91.3",54,"5.4",15,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_44.pdf",2018,8,219,2248,25,1061,"47.2",1187,"52.8",1335,380,1776,"91.1",107,"5.5",29,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_45.pdf",2018,9,47,2295,25,1086,"47.3",1209,"52.7",1356,388,1813,"91.1",111,"5.6",28,"1.4"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_46.pdf",2018,10,73,2368,25,1118,"47.2",1250,"52.8",1388,405,2051,"91.0",128,"5.7",34,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_47.pdf",2018,11,59,2427,25,1146,"47.2",1281,"52.8",1420,417,1091,"90.8",121,"5.8",31,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2018/bulletins/RM_News_2018_48_def.pdf",2018,12,99,2526,25,1190,"47.1",1336,"52.9",1468,434,1947,"90.1",130,"6.0",32,"1.5"
