"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,1,"Piedmont",45.0732745,7.680687483,0,0,0,0,3,3,0,0,3,3,6,6,1.6
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,3,"Lombardy",45.46679409,9.190347404,0,0,2,2,0,0,1,1,3,3,4,4,0.5
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,21,"AP Bolzano",46.49933453,11.35662422,1,1,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,5,"Veneto",45.43490485,12.33845213,0,0,0,0,0,0,1,1,3,3,4,4,1
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,7,"Liguria",44.41149315,8.9326992,1,1,0,0,5,5,2,2,6,6,13,13,10
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,8,"Emilia-Romagna",44.49436681,11.3417208,0,0,1,1,0,0,0,0,1,1,1,1,0.3
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,9,"Tuscany",43.76923077,11.25588885,0,0,1,1,0,0,1,1,7,7,8,8,2.6
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,12,"Lazio",41.89277044,12.48366722,4,4,4,4,5,5,3,3,38,38,46,46,9.4
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,15,"Campania",40.83956555,14.25084984,0,0,0,0,2,2,0,0,1,1,3,3,0.6
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,16,"Apulia",41.12559576,16.86736689,0,0,0,0,0,0,0,0,1,1,1,1,0.3
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,1,1,1,1,2.1
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,18,"Calabria",38.90597598,16.59440194,0,0,0,0,2,2,0,0,14,14,16,16,9.8
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,19,"Sicily",38.11569725,13.3623566999999,5,5,0,0,9,9,13,13,39,39,61,61,14.5
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_38.pdf",2018,1,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,1,"Piedmont",45.0732745,7.680687483,0,0,2,2,1,4,0,0,1,4,2,8,1.1
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_39.pdf",2018,2,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0,0
