"url_bulletins","year","month","comorbidity","comorbidity_cases","comorbidity_percent"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Diarrea",18,"11.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Epatite",14,"8.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Cheratocongiuntivite",10,"6.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Stomatite",9,"5.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Polmonite",9,"5.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Insufficienza respiratoria",8,"4.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Trombocitopenia",4,"2.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Otite",3,"1.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Laringotraccheobronchite",3,"1.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Altra complicanza",1,"0.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Encefalite",1,"0.6"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_49.pdf",2019,1,"Convulsi oni",0,"0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Diarrea",39,"11.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Epatite",31,"9.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Cheratocongiuntivite",24,"7.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Polmonite",21,"6.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Stomatite",20,"6.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Insufficienza respiratoria",13,"3.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Otite",7,"2.1"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Trombocitopenia",6,"1.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Laringotraccheobronchite",5,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Altra complicanza",5,"1.5"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Encefalite",1,"0.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2018_50.pdf",2019,2,"Convulsi oni",0,"0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Diarrea",72,"12.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Epatite",63,"11.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Cheratocongiuntivite",47,"8.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Stomatite",43,"7.7"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Polmonite",29,"5.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Insufficienza respiratoria",27,"4.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Otite",16,"2.9"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Laringotraccheobronchite",13,"2.3"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Trombocitopenia",12,"2.2"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Altra complicanza",10,"1.8"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Encefalite",2,"0.4"
"https://github.com/fbranda/measles/blob/main/Italy/2019/bulletins/RM_News_2019_51.pdf",2019,3,"Convulsi oni",0,"0.0"
