"url_bulletins","year","month","age_group","Unit","cases","cases_percent","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","0_4","N/100000",36,"13.5","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","5_14","N/100000",68,"25.6","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","15_39","N/100000",133,"50","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","40_64","N/100000",29,"10.9","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_02.pdf",2014,"1","65+","N/100000",0,"0","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","0_4","N/100000",60,"12.1","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","5_14","N/100000",116,"23.5","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","15_39","N/100000",272,"55.1","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","40_64","N/100000",46,"9.3","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_03.pdf",2014,"2","65+","N/100000",0,"0","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","0_4","N/100000",100,"12.6","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","5_14","N/100000",172,"21.6","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","15_39","N/100000",440,"55.3","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","40_64","N/100000",81,"10.2","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3","65+","N/100000",2,"0.3","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4","0_4","N/100000",127,"12.1","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4","5_14","N/100000",203,"19.4","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4","15_39","N/100000",611,"58.4","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4","40_64","N/100000",104,"9.9","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4","65+","N/100000",2,"0.2","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5","0_4","N/100000",166,"13.2","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5","5_14","N/100000",233,"18.5","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5","15_39","N/100000",720,"57.2","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5","40_64","N/100000",136,"10.8","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5","65+","N/100000",4,"0.3","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6","0_4","N/100000",175,"12.9","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6","5_14","N/100000",253,"18.6","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6","15_39","N/100000",776,"57.2","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6","40_64","N/100000",149,"11","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6","65+","N/100000",4,"0.3","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_08.pdf",2014,"8","0_4","N/100000",194,"12.8","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_08.pdf",2014,"8","5_14","N/100000",265,"17.5","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_08.pdf",2014,"8","15_39","N/100000",881,"58.1","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_08.pdf",2014,"8","40_64","N/100000",173,"11.4","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_08.pdf",2014,"8","65+","N/100000",4,"0.3","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_09.pdf",2014,"9","0_4","N/100000",199,"12.7","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_09.pdf",2014,"9","5_14","N/100000",279,"17.8","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_09.pdf",2014,"9","15_39","N/100000",906,"57.9","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_09.pdf",2014,"9","40_64","N/100000",178,"11.4","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_09.pdf",2014,"9","65+","N/100000",5,"0.3","NA"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_10.pdf",2014,"10","0_4","N/100000",204,"12.6","NA"
