"year","month","n_cases"
2013,1,84
2013,2,209
2013,3,215
2013,4,214
2013,5,360
2013,6,385
2013,7,201
2013,8,74
2013,9,46
2013,10,36
2013,11,181
2013,12,265
2014,1,319
2014,2,204
2014,3,304
2014,4,267
2014,5,195
2014,6,96
2014,7,93
2014,8,76
2014,9,46
2014,10,44
2014,11,30
2014,12,21
2015,1,11
2015,2,17
2015,3,14
2015,4,31
2015,5,31
2015,6,12
2015,7,18
2015,8,16
2015,9,15
2015,10,13
2015,11,33
2015,12,45
2016,1,78
2016,2,82
2016,3,73
2016,4,77
2016,5,82
2016,6,86
2016,7,45
2016,8,34
2016,9,54
2016,10,79
2016,11,83
2016,12,89
2017,1,296
2017,2,481
2017,3,972
2017,4,862
2017,5,802
2017,6,661
2017,7,600
2017,8,251
2017,9,165
2017,10,127
2017,11,66
2017,12,114
2018,1,219
2018,2,299
2018,3,392
2018,4,496
2018,5,460
2018,6,315
2018,7,148
2018,8,79
2018,9,56
2018,10,83
2018,11,59
2018,12,77
2019,1,180
2019,2,175
2019,3,228
2019,4,309
2019,5,236
2019,6,216
2019,7,152
2019,8,77
2019,9,20
2019,10,7
2019,11,10
2019,12,12
2020,1,52
2020,2,42
2020,3,9
2020,4,0
2020,5,0
2020,6,1
2020,7,1
2020,8,0
2020,9,0
2020,10,0
2020,11,0
2020,12,0
2021,1,0
2021,2,0
2021,3,0
2021,4,0
2021,5,1
2021,6,1
2021,7,1
2021,8,2
2021,9,1
2021,10,0
2021,11,1
2021,12,1
2022,1,1
2022,2,1
2022,3,2
2022,4,0
2022,5,1
2022,6,0
2022,7,0
2022,8,0
2022,9,2
2022,10,4
2022,11,3
2022,12,1
2023,1,1
2023,2,1
2023,3,2
2023,4,1
2023,5,1
2023,6,1
2023,7,1
2023,8,3
2023,9,8
2023,10,3
2023,11,8
2023,12,14
2024,1,34
2024,2,96
2024,3,124
2024,4,181
2024,5,131
2024,6,152
2024,7,98
2024,8,57
2024,9,38
2024,10,35
2024,11,54
2024,12,54
2025,1,74
2025,2,53
