"","HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","Lat","Lon","NumValue"
"1","Measles","All cases","Age standardised rate","N/1000000",2007,"AT","Austria",47.6661908,10.7060663,"2.476400560"
"2","Measles","All cases","Age standardised rate","N/1000000",2007,"BE","Belgium",50.493573,3.1470018,"5.147794110"
"3","Measles","All cases","Age standardised rate","N/1000000",2007,"BG","Bulgaria",42.6950461,22.90301,"0.137359570"
"4","Measles","All cases","Age standardised rate","N/1000000",2007,"CY","Cyprus",35.1670131,32.7657497,"0.000000000"
"5","Measles","All cases","Age standardised rate","N/1000000",2007,"CZ","Czechia",49.7737786,12.8354699,"0.218090850"
"6","Measles","All cases","Age standardised rate","N/1000000",2007,"DE","Germany",51.0567272,5.1734704,"7.856413610"
"7","Measles","All cases","Age standardised rate","N/1000000",2007,"DK","Denmark",56.201989,8.9038344,"0.411299040"
"8","Measles","All cases","Age standardised rate","N/1000000",2007,"EE","Estonia",58.6436119,22.2937524,"0.753257040"
"9","Measles","All cases","Age standardised rate","N/1000000",2007,"EL","Greece",38.027144,19.0352981,"NA"
"10","Measles","All cases","Age standardised rate","N/1000000",2007,"ES","Spain",35.3248265,-17.5870176,"5.724103540"
"11","Measles","All cases","Age standardised rate","N/1000000",2007,"EUEEA30_21","EU/EEA (without UK)",NA,NA,"4.868167000"
"12","Measles","All cases","Age standardised rate","N/1000000",2007,"EUEEAUK_21","EU/EEA (with UK until 2019)",NA,NA,"6.133566000"
"13","Measles","All cases","Age standardised rate","N/1000000",2007,"FI","Finland",64.4093773,15.3793338,"0.000000000"
"14","Measles","All cases","Age standardised rate","N/1000000",2007,"FR","France",45.6203343,-7.9821305,"0.602301380"
"15","Measles","All cases","Age standardised rate","N/1000000",2007,"HU","Hungary",47.130825,16.8652846,"0.000000000"
"16","Measles","All cases","Age standardised rate","N/1000000",2007,"IE","Ireland",53.2667296,-13.4969127,"9.166494030"
"17","Measles","All cases","Age standardised rate","N/1000000",2007,"IS","Iceland",64.7707364,-24.5196408,"0.000000000"
"18","Measles","All cases","Age standardised rate","N/1000000",2007,"IT","Italy",40.8030637,2.118703,"11.660188070"
"19","Measles","All cases","Age standardised rate","N/1000000",2007,"LT","Lithuania",55.1450555,21.2444669,"0.000000000"
"20","Measles","All cases","Age standardised rate","N/1000000",2007,"LU","Luxembourg",49.8134791,5.4739377,"0.000000000"
"21","Measles","All cases","Age standardised rate","N/1000000",2007,"LV","Latvia",56.8523539,21.9054152,"0.000000000"
"22","Measles","All cases","Age standardised rate","N/1000000",2007,"MT","Malta",35.935038,14.2135383,"5.002100680"
"23","Measles","All cases","Age standardised rate","N/1000000",2007,"NL","Netherlands",52.1835446,2.6402164,"0.618856960"
"24","Measles","All cases","Age standardised rate","N/1000000",2007,"NO","Norway",63.0622908,-2.8732225,"3.703924710"
"25","Measles","All cases","Age standardised rate","N/1000000",2007,"PL","Poland",51.8354408,13.8542533,"1.032673200"
"26","Measles","All cases","Age standardised rate","N/1000000",2007,"PT","Portugal",35.5226149,-29.4418798,"0.000000000"
"27","Measles","All cases","Age standardised rate","N/1000000",2007,"RO","Romania",45.8199508,19.7359343,"15.110197770"
"28","Measles","All cases","Age standardised rate","N/1000000",2007,"SE","Sweden",60.4293287,-3.2645052,"0.101294830"
"29","Measles","All cases","Age standardised rate","N/1000000",2007,"SI","Slovenia",46.1414895,13.6668529,"0.000000000"
"30","Measles","All cases","Age standardised rate","N/1000000",2007,"SK","Slovakia",48.6423179,17.0599442,"0.000000000"
"31","Measles","All cases","Age standardised rate","N/1000000",2007,"UK","United Kingdom",54.0895811,-15.0113976,"15.206628150"
"32","Measles","All cases","Age standardised rate","N/1000000",2008,"AT","Austria",47.6661908,10.7060663,"55.696428740"
"33","Measles","All cases","Age standardised rate","N/1000000",2008,"BE","Belgium",50.493573,3.1470018,"8.773241730"
"34","Measles","All cases","Age standardised rate","N/1000000",2008,"BG","Bulgaria",42.6950461,22.90301,"0.168531470"
"35","Measles","All cases","Age standardised rate","N/1000000",2008,"CY","Cyprus",35.1670131,32.7657497,"1.128678800"
"36","Measles","All cases","Age standardised rate","N/1000000",2008,"CZ","Czechia",49.7737786,12.8354699,"0.184176540"
"37","Measles","All cases","Age standardised rate","N/1000000",2008,"DE","Germany",51.0567272,5.1734704,"12.798912200"
"38","Measles","All cases","Age standardised rate","N/1000000",2008,"DK","Denmark",56.201989,8.9038344,"2.170323350"
"39","Measles","All cases","Age standardised rate","N/1000000",2008,"EE","Estonia",58.6436119,22.2937524,"0.000000000"
"40","Measles","All cases","Age standardised rate","N/1000000",2008,"EL","Greece",38.027144,19.0352981,"0.096878450"
"41","Measles","All cases","Age standardised rate","N/1000000",2008,"ES","Spain",35.3248265,-17.5870176,"6.496956900"
"42","Measles","All cases","Age standardised rate","N/1000000",2008,"EUEEA30_21","EU/EEA (without UK)",NA,NA,"20.062380000"
"43","Measles","All cases","Age standardised rate","N/1000000",2008,"EUEEAUK_21","EU/EEA (with UK until 2019)",NA,NA,"20.207989000"
"44","Measles","All cases","Age standardised rate","N/1000000",2008,"FI","Finland",64.4093773,15.3793338,"0.986436450"
"45","Measles","All cases","Age standardised rate","N/1000000",2008,"FR","France",45.6203343,-7.9821305,"8.762575760"
"46","Measles","All cases","Age standardised rate","N/1000000",2008,"HU","Hungary",47.130825,16.8652846,"0.000000000"
"47","Measles","All cases","Age standardised rate","N/1000000",2008,"IE","Ireland",53.2667296,-13.4969127,"9.535768630"
"48","Measles","All cases","Age standardised rate","N/1000000",2008,"IS","Iceland",64.7707364,-24.5196408,"0.000000000"
"49","Measles","All cases","Age standardised rate","N/1000000",2008,"IT","Italy",40.8030637,2.118703,"102.898434320"
"50","Measles","All cases","Age standardised rate","N/1000000",2008,"LT","Lithuania",55.1450555,21.2444669,"0.361656980"
"51","Measles","All cases","Age standardised rate","N/1000000",2008,"LU","Luxembourg",49.8134791,5.4739377,"0.000000000"
"52","Measles","All cases","Age standardised rate","N/1000000",2008,"LV","Latvia",56.8523539,21.9054152,"1.348939020"
"53","Measles","All cases","Age standardised rate","N/1000000",2008,"MT","Malta",35.935038,14.2135383,"2.385307960"
"54","Measles","All cases","Age standardised rate","N/1000000",2008,"NL","Netherlands",52.1835446,2.6402164,"6.366715300"
"55","Measles","All cases","Age standardised rate","N/1000000",2008,"NO","Norway",63.0622908,-2.8732225,"0.824532490"
"56","Measles","All cases","Age standardised rate","N/1000000",2008,"PL","Poland",51.8354408,13.8542533,"2.552635930"
"57","Measles","All cases","Age standardised rate","N/1000000",2008,"PT","Portugal",35.5226149,-29.4418798,"0.099490610"
"58","Measles","All cases","Age standardised rate","N/1000000",2008,"RO","Romania",45.8199508,19.7359343,"0.669898940"
"59","Measles","All cases","Age standardised rate","N/1000000",2008,"SE","Sweden",60.4293287,-3.2645052,"2.712252780"
"60","Measles","All cases","Age standardised rate","N/1000000",2008,"SI","Slovenia",46.1414895,13.6668529,"0.000000000"
"61","Measles","All cases","Age standardised rate","N/1000000",2008,"SK","Slovakia",48.6423179,17.0599442,"0.000000000"
"62","Measles","All cases","Age standardised rate","N/1000000",2008,"UK","United Kingdom",54.0895811,-15.0113976,"21.247271680"
"63","Measles","All cases","Age standardised rate","N/1000000",2009,"AT","Austria",47.6661908,10.7060663,"6.638862850"
"64","Measles","All cases","Age standardised rate","N/1000000",2009,"BE","Belgium",50.493573,3.1470018,"3.058259110"
"65","Measles","All cases","Age standardised rate","N/1000000",2009,"BG","Bulgaria",42.6950461,22.90301,"349.173288250"
"66","Measles","All cases","Age standardised rate","N/1000000",2009,"CY","Cyprus",35.1670131,32.7657497,"0.000000000"
"67","Measles","All cases","Age standardised rate","N/1000000",2009,"CZ","Czechia",49.7737786,12.8354699,"0.511382900"
"68","Measles","All cases","Age standardised rate","N/1000000",2009,"DE","Germany",51.0567272,5.1734704,"8.072432810"
"69","Measles","All cases","Age standardised rate","N/1000000",2009,"DK","Denmark",56.201989,8.9038344,"1.346503550"
"70","Measles","All cases","Age standardised rate","N/1000000",2009,"EE","Estonia",58.6436119,22.2937524,"0.000000000"
"71","Measles","All cases","Age standardised rate","N/1000000",2009,"EL","Greece",38.027144,19.0352981,"0.187278970"
"72","Measles","All cases","Age standardised rate","N/1000000",2009,"ES","Spain",35.3248265,-17.5870176,"0.903179160"
"73","Measles","All cases","Age standardised rate","N/1000000",2009,"EUEEA30_21","EU/EEA (without UK)",NA,NA,"13.700863000"
"74","Measles","All cases","Age standardised rate","N/1000000",2009,"EUEEAUK_21","EU/EEA (with UK until 2019)",NA,NA,"14.155785000"
"75","Measles","All cases","Age standardised rate","N/1000000",2009,"FI","Finland",64.4093773,15.3793338,"0.369308670"
"76","Measles","All cases","Age standardised rate","N/1000000",2009,"FR","France",45.6203343,-7.9821305,"22.577498930"
"77","Measles","All cases","Age standardised rate","N/1000000",2009,"HU","Hungary",47.130825,16.8652846,"0.098557670"
"78","Measles","All cases","Age standardised rate","N/1000000",2009,"IE","Ireland",53.2667296,-13.4969127,"32.711597450"
"79","Measles","All cases","Age standardised rate","N/1000000",2009,"IS","Iceland",64.7707364,-24.5196408,"0.000000000"
"80","Measles","All cases","Age standardised rate","N/1000000",2009,"IT","Italy",40.8030637,2.118703,"14.804422710"
"81","Measles","All cases","Age standardised rate","N/1000000",2009,"LT","Lithuania",55.1450555,21.2444669,"0.000000000"
