source;year;cases
https://www.cdc.gov/measles/data-research/index.html;1985;2822
https://www.cdc.gov/measles/data-research/index.html;1986;6255
https://www.cdc.gov/measles/data-research/index.html;1987;3652
https://www.cdc.gov/measles/data-research/index.html;1988;3410
https://www.cdc.gov/measles/data-research/index.html;1989;17914
https://www.cdc.gov/measles/data-research/index.html;1990;27808
https://www.cdc.gov/measles/data-research/index.html;1991;9643
https://www.cdc.gov/measles/data-research/index.html;1992;2126
https://www.cdc.gov/measles/data-research/index.html;1993;312
https://www.cdc.gov/measles/data-research/index.html;1994;899
https://www.cdc.gov/measles/data-research/index.html;1995;308
https://www.cdc.gov/measles/data-research/index.html;1996;492
https://www.cdc.gov/measles/data-research/index.html;1997;141
https://www.cdc.gov/measles/data-research/index.html;1998;100
https://www.cdc.gov/measles/data-research/index.html;1999;99
https://www.cdc.gov/measles/data-research/index.html;2000;85
https://www.cdc.gov/measles/data-research/index.html;2001;116
https://www.cdc.gov/measles/data-research/index.html;2002;44
https://www.cdc.gov/measles/data-research/index.html;2003;56
https://www.cdc.gov/measles/data-research/index.html;2004;37
https://www.cdc.gov/measles/data-research/index.html;2005;66
https://www.cdc.gov/measles/data-research/index.html;2006;55
https://www.cdc.gov/measles/data-research/index.html;2007;43
https://www.cdc.gov/measles/data-research/index.html;2008;140
https://www.cdc.gov/measles/data-research/index.html;2009;72
https://www.cdc.gov/measles/data-research/index.html;2010;63
https://www.cdc.gov/measles/data-research/index.html;2011;220
https://www.cdc.gov/measles/data-research/index.html;2012;55
https://www.cdc.gov/measles/data-research/index.html;2013;187
https://www.cdc.gov/measles/data-research/index.html;2014;667
https://www.cdc.gov/measles/data-research/index.html;2015;191
https://www.cdc.gov/measles/data-research/index.html;2016;86
https://www.cdc.gov/measles/data-research/index.html;2017;120
https://www.cdc.gov/measles/data-research/index.html;2018;381
https://www.cdc.gov/measles/data-research/index.html;2019;1274
https://www.cdc.gov/measles/data-research/index.html;2020;13
https://www.cdc.gov/measles/data-research/index.html;2021;49
https://www.cdc.gov/measles/data-research/index.html;2022;121
https://www.cdc.gov/measles/data-research/index.html;2023;59
https://www.cdc.gov/measles/data-research/index.html;2024;285
https://www.cdc.gov/measles/data-research/index.html;2025;164
https://www.cdc.gov/measles/data-research/index.html;2000;85
https://www.cdc.gov/measles/data-research/index.html;2001;116
https://www.cdc.gov/measles/data-research/index.html;2002;44
https://www.cdc.gov/measles/data-research/index.html;2003;56
https://www.cdc.gov/measles/data-research/index.html;2004;37
https://www.cdc.gov/measles/data-research/index.html;2005;66
https://www.cdc.gov/measles/data-research/index.html;2006;55
https://www.cdc.gov/measles/data-research/index.html;2007;43
https://www.cdc.gov/measles/data-research/index.html;2008;140
https://www.cdc.gov/measles/data-research/index.html;2009;72
https://www.cdc.gov/measles/data-research/index.html;2010;63
https://www.cdc.gov/measles/data-research/index.html;2011;220
https://www.cdc.gov/measles/data-research/index.html;2012;55
https://www.cdc.gov/measles/data-research/index.html;2013;187
https://www.cdc.gov/measles/data-research/index.html;2014;667
https://www.cdc.gov/measles/data-research/index.html;2015;191
https://www.cdc.gov/measles/data-research/index.html;2016;86
https://www.cdc.gov/measles/data-research/index.html;2017;120
https://www.cdc.gov/measles/data-research/index.html;2018;381
https://www.cdc.gov/measles/data-research/index.html;2019;1274
https://www.cdc.gov/measles/data-research/index.html;2020;13
https://www.cdc.gov/measles/data-research/index.html;2021;49
https://www.cdc.gov/measles/data-research/index.html;2022;121
https://www.cdc.gov/measles/data-research/index.html;2023;59
https://www.cdc.gov/measles/data-research/index.html;2024;285
https://www.cdc.gov/measles/data-research/index.html;2025;164
